id,slug,name_en,name_bn,hydrological_class,water_body_type,water_body_subtype,district,upazila,latitude,longitude,transboundary_flag,transboundary_countries
BD-WB-0018,jhampa-baor,Jhampa Baor,ঝাঁপা বাঁওড়,LENTIC,Wetland,Baor / Oxbow Lake,Jashore,Manirampur,23.0167,89.2333,,
BD-WB-0019,boga-lake,Boga Lake,বগা লেক,LENTIC,Lake,Natural Lake,Bandarban,Ruma,21.9806,92.5347,,
BD-WB-0020,madhobpur-lake,Madhobpur Lake,মাধবপুর লেক,LENTIC,Lake,Natural Lake,Moulvibazar,Kamalganj,24.2333,91.8000,,
BD-WB-0021,durgasagar,Durgasagar,দুর্গাসাগর,LENTIC,Lake,Reservoir,Barishal,Babu Ganj,22.7667,90.2833,,
BD-WB-0022,ramsagar,Ramsagar,রামসাগর,LENTIC,Lake,Reservoir,Dinajpur,Dinajpur Sadar,25.5539,88.6247,,
BD-WB-0023,kaptai-lake,Kaptai Lake,কাপ্তাই হ্রদ,LENTIC,Lake,Reservoir,Rangamati,Kaptai / Rangamati Sadar,22.5000,92.2167,,
BD-WB-0024,mahamaya-lake,Mahamaya Lake,মহামায়া লেক,LENTIC,Lake,Reservoir,Chattogram,Mirsharai,22.8167,91.5667,,
BD-WB-0025,hatirjheel,Hatirjheel,হাতিরঝিল,LENTIC,Lake,Urban Jheel / Lake,Dhaka,Tejgaon / Rampura,23.7583,90.4125,,
BD-WB-0026,kasalong,Kasalong,কাছালং,LOTIC,River,Hill River,,,23.684994,90.356331,false,
BD-WB-0027,bangshi,Bangshi,বংশী,LOTIC,River,Tributary,,,24.48845939593953,90.02805149450391,false,
BD-WB-0028,dharla,Dharla,ধরলা,LOTIC,River,Tributary,,,25.87514905436399,89.58960924617882,true,
BD-WB-0029,dudhkumar,Dudhkumar,দুধকুমার,LOTIC,River,Tributary,,,26.19175675152409,89.67690541695315,true,
BD-WB-0030,kangsha,Kangsha,কংস,LOTIC,River,Tributary,,,24.97417921307164,90.56506423922853,false,
BD-WB-0031,sutang,Sutang,সুতাং,LOTIC,River,Tributary,,,24.3062402,91.37839059999999,true,
BD-WB-0032,halda,Halda,হালদা,LOTIC,River,Tributary (Freshwater Breeding),,,22.52593392085843,91.84164021423024,false,
BD-WB-0033,titas,Titas,তিতাস,LOTIC,River,Tributary / Distributary,,,23.80129124979716,90.83895306446271,true,
BD-WB-0034,karatoa-north-south,Karatoa (North & South),করতোয়া,LOTIC,River,Tributary Network,,,23.684994,90.356331,true,
BD-WB-0035,atrai,Atrai,আত্রাই,LOTIC,River,Transboundary Tributary,,,25.06584030550964,89.01649379445296,true,
BD-WB-0036,jadukata,Jadukata,জাদুকাটা,LOTIC,River,Transboundary Tributary,,,25.12018382699828,91.67728875603717,true,
BD-WB-0037,khowai,Khowai,খোয়াই,LOTIC,River,Transboundary Tributary,,,24.10919282523134,91.48787511354486,true,
BD-WB-0038,mahananda,Mahananda,মহানন্দা,LOTIC,River,Transboundary Tributary,,,26.47742598506915,88.15737139870716,true,
BD-WB-0039,manu,Manu,মনু,LOTIC,River,Transboundary Tributary,,,24.45338475768452,91.85644952527058,true,
BD-WB-0040,piyain,Piyain,পিয়াইন,LOTIC,River,Transboundary Tributary,,,24.7683391,91.09554729999999,true,
BD-WB-0041,punarbhaba,Punarbhaba,পুনর্ভবা,LOTIC,River,Transboundary Tributary,,,25.61172107965042,88.60240532561627,true,
BD-WB-0042,sari-goyain,Sari-Goyain,সারী-গোয়াইন,LOTIC,River,Transboundary Tributary,,,23.684994,90.356331,true,
BD-WB-0043,someswari,Someswari,সোমেশ্বরী,LOTIC,River,Transboundary Tributary,,,25.11046911586802,90.64886056155642,true,
BD-WB-0044,arial-khan,Arial Khan,আড়িয়াল খাঁ,LOTIC,River,Distributary,,,23.13184157854557,90.25321491262896,false,
BD-WB-0045,bhairab,Bhairab,ভৈরব,LOTIC,River,Distributary,,,23.10063039966696,89.29328012974105,false,
BD-WB-0046,chitra,Chitra,চিত্রা,LOTIC,River,Distributary,,,23.15536547162542,89.52144038131443,false,
BD-WB-0047,dhaleshwari,Dhaleshwari,ধলেশ্বরী,LOTIC,River,Distributary,,,23.62629639145374,90.38935889756674,false,
BD-WB-0048,gorai,Gorai,গড়াই,LOTIC,River,Distributary,,,23.45216245500611,89.43493576077148,false,
BD-WB-0049,kopotakho-kabadak,Kopotakho (Kabadak),কপোতাক্ষ,LOTIC,River,Distributary,,,22.871482,89.1283158,false,
BD-WB-0050,mathabhanga,Mathabhanga,মাথাভাঙ্গা,LOTIC,River,Distributary,,,22.7816528,89.5627331,true,
BD-WB-0051,nabaganga,Nabaganga,নবগঙ্গা,LOTIC,River,Distributary,,,23.3277415026448,89.43563191241512,false,
BD-WB-0052,old-brahmaputra,Old Brahmaputra,পুরাতন ব্রহ্মপুত্র,LOTIC,River,Distributary,,,24.0369155,90.9800813,false,
BD-WB-0053,bangali,Bangali,বাঙালী,LOTIC,River,Distributary / Tributary,,,24.68009569735841,89.45965234888291,false,
BD-WB-0054,buriganga,Buriganga,বুড়িগঙ্গা,LOTIC,River,Distributary / Urban River,,,23.70325755377805,90.39846432602914,false,
BD-WB-0055,shitalakshya,Shitalakshya,শীতলক্ষ্যা,LOTIC,River,Distributary / Urban River,,,23.92286230370932,90.58264810231825,false,
BD-WB-0056,turag,Turag,তুরাগ,LOTIC,River,Distributary / Urban River,,,23.89231669009527,90.34189978608009,false,
BD-WB-0057,kushiyara,Kushiyara,কুশিয়ারা,LOTIC,River,Major Branch / Network,,,24.76056895921016,92.10747489518872,true,
BD-WB-0058,surma,Surma,সুরমা,LOTIC,River,Major Branch / Network,,,24.9886970798154,91.8176469249846,true,
BD-WB-0059,begabati,Begabati,বেগবতী,LOTIC,River,River (Seasonal),Magura,Magura Sadar,23.4857953,89.41900849999999,false,
BD-WB-0060,bhadra,Bhadra,ভদ্রা,LOTIC,River,River (Seasonal),Jessore; Khulna,Keshabpur; Dacope; Dumuria,22.88467384021408,89.23482640480334,false,
BD-WB-0061,dhala,Dhala,ধলা,LOTIC,River,River (Seasonal),Sylhet,Companiganj,24.4047773868517,91.83671674962861,true,Tripura Hills; India
BD-WB-0062,dhepa,Dhepa,ধেপা,LOTIC,River,River (Seasonal),Dinajpur,Kaharole,25.76622585516166,88.67231821757346,false,
BD-WB-0063,ghoramara,Ghoramara,ঘোড়ামারা,LOTIC,River,River (Seasonal),Panchagarh,Panchagarh Sadar,26.3339777,88.5548408,true,India
BD-WB-0064,hawrah,Hawrah,হাওড়া,LOTIC,River,River (Seasonal),Brahmanbaria,Akhaura,23.8673991,91.2081173,true,Tripura Hills; India
BD-WB-0065,jhenai,Jhenai,ঝিনাই,LOTIC,River,River (Seasonal),Jamalpur; Tangail,Melandaha; Sarishabari; Kalihati,24.9817005,89.8291768,false,
BD-WB-0066,kakri,Kakri,কাকড়ী,LOTIC,River,River (Seasonal),Cumilla,Chauddagram,23.33551760129697,91.25333155662278,true,Tripura; India
BD-WB-0067,nitai,Nitai,নিতাই,LOTIC,River,River (Seasonal),Mymensingh,Dhobaura,25.09594593740226,90.55418941405124,true,Meghalaya; India
BD-WB-0068,pagla,Pagla,পাগলা,LOTIC,River,River (Seasonal),Nawabganj,Shibganj,24.6837815,88.15721370000001,true,West Bengal; India
BD-WB-0069,sonai-bardal,Sonai-Bardal,সোনাই-বরদল,LOTIC,River,River (Seasonal),Sylhet,Fenchuganj,24.69583,91.944132,true,Tripura Hills; India
BD-WB-0070,tangon,Tangon,টাংগন,LOTIC,River,River (Seasonal),Dinajpur; Thakurgaon,Bochaganj; Thakurgaon,25.7997217,88.46218909999999,true,West Bengal; India
BD-WB-0071,tongi-khal,Tongi Khal,টংগী খাল,LOTIC,River,River (Seasonal),Dhaka,Uttara,23.8758547,90.3795438,false,
