SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude
328,SW88,Rajshahi,Ganges-Padma,Non-Tidal,Rajshahi,Boalia,24.3610,88.5704
329,SW15,Charghat,Baral,Tidal,Rajshahi,Charghat,24.2808,88.7500
330,SW16,Nandangachi,Baral,Tidal,Rajshahi,Charghat,24.2926,88.8600
331,SW89,Sardah,Ganges-Padma,Non-Tidal,Rajshahi,Charghat,24.3061,88.7193
332,SW211,Godagari,Mahananda,Non-Tidal,Rajshahi,Godagari,24.4656,88.3200
333,SW261,Nawhata,Siva-Barnai-Gurnai,Non-Tidal,Rajshahi,Paba,24.4598,88.6118
334,SW260,Pearpur,Siva-Barnai-Gurnai,Non-Tidal,Rajshahi,Tanore,24.4902,88.5800
335,SW152.5,Baraharina,Karnafuli,Non-Tidal,Rangamati,Barkal,22.9292,92.3758
336,SW62,Badarganj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Rangpur,Badarganj,25.6822,89.0762
337,SW294,Kaunia,Teesta,Non-Tidal,Rangpur,Kaunia,25.7888,89.4389
338,SW96.5,Mirjapur,Ghagot,Non-Tidal,Rangpur,Mithapukur,25.5487,89.4028
339,SW96,Islampur,Ghagot,Non-Tidal,Rangpur,Mithapukur,25.6793,89.2736
340,SW96A,Jafarganj Road Crossing,Ghagot,Non-Tidal,Rangpur,Rangpur Sadar,25.7996,89.1882
341,SW61.5,Barati,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Rangpur,Taraganj,25.8109,89.0583
342,SW44.1,Nizbari Road Crossing,Burikhora Chiki,Non-Tidal,Rangpur,Taraganj,25.7961,88.9558
343,SW25,Chapra,Betna-Kholpetua,Tidal,Satkhira,Assasuni,22.5703,89.1874
344,SW26,Protapnagar,Betna-Kholpetua,Tidal,Satkhira,Assasuni,22.3732,89.2099
345,SW128,Shakra,Ichamati (Western Border),Tidal,Satkhira,Debhata,22.6173,88.9618
346,SW23,Kalaroa,Betna-Kholpetua,Tidal,Satkhira,Kalaroa,22.8880,89.0412
347,SW129,Basantapur,Ichamati (Western Border),Tidal,Satkhira,Kaliganj,22.4675,88.9991
348,SW254.5,Elarchar,Satkhira Khal,Tidal,Satkhira,Satkhira Sadar,22.5634,89.1426
349,SW24,Benarpota,Betna-Kholpetua,Tidal,Satkhira,Satkhira Sadar,22.7529,89.1012
350,SW130,Kaikhali,Ichamati (Western Border),Tidal,Satkhira,Shyamnagar,22.2013,89.0731
351,SW163,Tala Magura,Kobadak,Tidal,Satkhira,Tala,22.7283,89.2365
352,SW277.1R,Ibrahimpur,Surma-Meghna,Tidal,Shariatpur,Bhedarganj,23.1832,90.5799
353,SW329,Damudya,Damudya Khal,Tidal,Shariatpur,Damudya,23.1364,90.4433
354,SW95,Sureswar,Ganges-Padma,Tidal,Shariatpur,Naria,23.3115,90.4759
355,SW350,Rajnganj,Kirtinasha,Tidal,Shariatpur,Sariatpur Sadar,23.2206,90.3392
356,SW34.5,Jhenaigati,Moharoshi,Non-Tidal,Sherpur,Jhenaigati,25.1828,90.0689
357,SW35,Nalitabari,Bhogai-Kangsa,Non-Tidal,Sherpur,Nalitabari,25.0854,90.1953
358,SW53,Bath Kuchi,Chellakhali,Non-Tidal,Sherpur,Nalitabari,25.1967,90.1765
359,SW34,Nakuagaon,Bhogai-Kangsa,Non-Tidal,Sherpur,Nalitabari,25.1896,90.2158
360,SW36.5,Sreebardi,Someshwari (Jhenaigati),Non-Tidal,Sherpur,Sreebardi,25.2556,89.9036
361,SW49A,Kazipur,Brahmaputra-Jamuna,Non-Tidal,Sirajganj,Kazipur,24.6698,89.6491
362,SW11.5,Nalkasengati,Bangali,Non-Tidal,Sirajganj,Raiganj,24.4239,89.5927
363,SW151,Baghabari,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Sirajganj,Shahjadpur,24.1312,89.5813
364,SW49,Sirajganj,Brahmaputra-Jamuna,Non-Tidal,Sirajganj,Sirajganj Sadar,24.4685,89.7196
365,SW66,Ullapara_Rly_Crossing,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Sirajganj,Ullapara,24.2977,89.5940
366,SW313,Nangoora Bridge,Nangoora,Non-Tidal,Sirajganj,Ullapara,24.2568,89.4888
367,SW333A,Dulura,Jhalukhali,Non-Tidal,Sunamganj,Bishwamvarpur,25.1593,91.3878
368,SW33,Gobindaganj,Bhattakhal,Tidal,Sunamganj,Chhatak,24.9403,91.6900
369,SW315,Chhatak,Madhabpur Khal,Non-Tidal,Sunamganj,Chhatak,25.1012,91.6500
370,SW268,Chhatak,Surma-Meghna,Non-Tidal,Sunamganj,Chhatak,25.0367,91.6626
371,SW269.5,Derai_on Kalni,Surma-Meghna,Non-Tidal,Sunamganj,Derai,24.7982,91.3538
372,SW263.2,Madhanagar,Someswari,Non-Tidal,Sunamganj,Dharampasha,25.0495,90.9960
373,SW337,Urargaon,Noyagang,Non-Tidal,Sunamganj,Dowarabazar,25.1209,91.5936
374,SW341,Chella Sonapur,Omayan Chella,Non-Tidal,Sunamganj,Dowarabazar,25.1301,91.6685
375,SW352,Jagonathpur,Naljar,Non-Tidal,Sunamganj,Jagannathpur,24.7639,91.5514
376,SW345,Durlavpur,Surma-Noya,Non-Tidal,Sunamganj,Jamalganj,24.9983,91.2579
377,SW72B,Sukdebpur,Dhanu-Baulai-Ghorautra,Non-Tidal,Sunamganj,Jamalganj,24.8795,91.1627
378,SW351,Akther Para,Mohasingh,Non-Tidal,Sunamganj,South Sunamganj,24.8779,91.4879
379,SW333,Muslimpur,Jhalukhali,Non-Tidal,Sunamganj,Sunamganj Sadar,25.1109,91.3914
380,SW269,Sunamganj,Surma-Meghna,Non-Tidal,Sunamganj,Sunamganj Sadar,25.0792,91.4121
381,SW131.5,Laurergarh Saktiarkhola,Jadukata,Non-Tidal,Sunamganj,Tahirpur,25.1891,91.2508
382,SW131,Saktiarkhola,Jadukata,Tidal,Sunamganj,Tahirpur,25.1884,91.2500
383,SW354,Salemanpur (South Sreepur),Patnai,Non-Tidal,Sunamganj,Tahirpur,25.0926,91.1192
384,SW173A,Sheola,Kushiyara,Non-Tidal,Sylhet,Beanibazar,24.9073,92.1500
385,SW173,Sheola,Kushiyara,Non-Tidal,Sylhet,Beanibazar,24.8911,92.1915
386,SW234,Companiganj,Piyan,Non-Tidal,Sylhet,Companiganj,25.0890,91.7601
387,SW332,Islampur,Dhala,Non-Tidal,Sylhet,Companiganj,25.1302,91.7538
388,SW265,Jaldhup,Sonai-Bardal,Non-Tidal,Sylhet,Fenchuganj,24.7738,92.1729
389,SW174,Fenchuganj,Kushiyara,Non-Tidal,Sylhet,Fenchuganj,24.7023,91.9414
390,SW252,Gowainghat,Sari-Gowain,Non-Tidal,Sylhet,Gowainghat,25.0886,91.9809
391,SW233,Ratnar bhanga(Piyan gang),Piyan,Non-Tidal,Sylhet,Gowainghat,25.1624,91.9670
392,SW251,Sarighat,Sari-Gowain,Non-Tidal,Sylhet,Jaintiapur,25.0939,92.1173
393,SW233A,Jaflong_Spill,Piyan,Non-Tidal,Sylhet,Jaintiapur,25.1568,92.0167
394,SW326A,Borogram,Lubachara,Non-Tidal,Sylhet,Kanairghat,25.0540,92.3374
395,SW266,Kanairghat,Surma-Meghna,Non-Tidal,Sylhet,Kanairghat,24.9980,92.2594
396,SW326,Lubachara,Lubachara,Non-Tidal,Sylhet,Kanairghat,25.0515,92.3085
397,SW175.5,Sherpur,Kushiyara,Non-Tidal,Sylhet,Osmani Nagar,24.6303,91.6813
398,SW6,Off take of Surma,Bahia,Tidal,Sylhet,Sylhet Sadar,24.9063,91.8200
399,SW267,Sylhet,Surma-Meghna,Non-Tidal,Sylhet,Sylhet Sadar,24.8879,91.8680
400,SW252.1,Salutikar,Sari-Gowain,Non-Tidal,Sylhet,Sylhet Sadar,24.9916,91.8522
401,SW172,Amalshid,Kushiyara,Non-Tidal,Sylhet,Zakiganj,24.8732,92.4861
402,SW172.5,Amalshid,Kushiyara,Non-Tidal,Sylhet,Zakiganj,24.8784,92.4900
403,SW343.5,Bhuiyanpur d/s,Futikjani,Non-Tidal,Tangail,Bhuapur,24.4688,89.8753
404,SW68A,Elashin,Dhaleswari,Non-Tidal,Tangail,Delduar,24.1187,89.8877
405,SW342,Nolsafa,Futikjani,Non-Tidal,Tangail,Ghatail,24.4887,89.9000
406,SW134,Jukerchar,Jhenai,Non-Tidal,Tangail,Kalihati,24.3779,89.8526
407,SW12,Madhupur,Bangshi,Non-Tidal,Tangail,Madhupur,24.6058,90.0289
408,SW14,Mirzapur_Bangshi,Bangshi,Non-Tidal,Tangail,Mirzapur,24.1096,90.0974
409,SW13,Kawaljani,Bangshi,Non-Tidal,Tangail,Tangail Sadar,24.2990,90.0583
410,SW50,Porabari,Brahmaputra-Jamuna,Non-Tidal,Tangail,Tangail Sadar,24.3011,89.7970
411,SW186,Jugini,Lohajang,Non-Tidal,Tangail,Tangail Sadar,24.2904,89.8746
412,SW335,Bhutdangi,Kulik,Non-Tidal,Thakurgaon,Haripur,25.8207,88.2407
413,SW336,Bujruk,Nagar (NW border),Non-Tidal,Thakurgaon,Haripur,25.8725,88.1053
414,SW285,Thakurgaon,Tangon,Non-Tidal,Thakurgaon,Thakurgaon,26.0359,88.4569
415,SW284,Raniganj,Tangon,Non-Tidal,Thakurgaon,Thakurgaon,26.1839,88.4014
